X (m),Y (m),Z (m),RX_sim,delta
17.723,-23.992,2029,-69.49,-4.81
14.486,-24.051,2029,-70.21,-3.19
11.144,-24.331,2029,-70.46,-2.54
7.904,-24.612,2029,-71.46,-1.04
4.765,-24.895,2029,-72.09,-2.01
1.53,-24.844,2029,-72.8,-0.4
-1.704,-24.683,2029,-73.79,0.09
-4.838,-24.633,2029,-74.89,4.29
-8.073,-24.582,2029,-76.63,8.33
-11.207,-24.533,2029,-78.56,7.46
-17.473,-24.323,2029,-82.95,10.85
-20.605,-24.163,2029,-89.78,16.98
-23.739,-24.113,2029,-87.26,12.26
-26.875,-24.175,2029,-84.96,12.76
-30.009,-24.125,2029,-81.62,10.42
-33.246,-24.185,2029,-79.11,8.31
-36.277,-24.027,2029,-73.53,4.43
-39.31,-23.979,2029,-69.5,3.0
-42.343,-23.931,2029,-66.24,-3.96
-45.578,-23.88,2029,-70.22,0.22
-48.712,-23.831,2029,-72.17,0.37
-54.98,-23.732,2029,-82.38,13.38
-58.215,-23.681,2029,-87.06,18.56
-61.351,-23.742,2029,-94.09,26.89
-64.586,-23.691,2029,-89.92,23.42
-70.953,-23.48,2029,-79.69,13.49
-74.087,-23.43,2029,-80.51,13.61
-77.223,-23.492,2029,-83.19,14.99
-80.358,-23.553,2029,-91.02,21.82
-83.592,-23.391,2029,-96.44,24.74
-86.726,-23.342,2029,-99.65,26.55
-89.959,-23.18,2029,-100.05,26.55
-93.194,-23.129,2029,-98.8,26.5
-96.328,-23.08,2029,-93.68,20.78
-99.565,-23.139,2029,-88.89,13.79
-102.8,-23.088,2029,-87.35,12.65
-105.934,-23.039,2029,-86.66,13.06
-109.167,-22.877,2029,-87.94,10.14
-112.396,-22.383,2029,-90.2,13.4
-115.329,-22.448,2029,-91.46,19.56
-117.471,-23.633,2029,-92.71,18.31
-118.625,-26.274,2029,-89.67,15.37
-118.681,-29.819,2029,-90.2,16.3
-117.726,-33.379,2029,-90.61,18.01
-115.847,-36.068,2029,-90.73,17.13
-113.032,-37.11,2029,-94.01,21.71
-109.389,-36.946,2029,-102.83,31.23
-105.635,-36.119,2029,-101.24,30.04
-102.088,-35.62,2029,-95.55,24.75
-98.546,-35.455,2029,-93.72,21.52
-95.208,-35.397,2029,-92.14,19.24
-91.771,-35.451,2029,-89.97,16.87
-88.434,-35.503,2029,-92.61,21.91
-85.098,-35.556,2029,-91.62,20.52
-81.861,-35.496,2029,-81.3,10.5
-78.727,-35.546,2029,-82.09,13.29
-75.494,-35.707,2029,-80.57,12.07
-72.257,-35.648,2029,-79.93,13.63
-65.885,-35.527,2029,-80.52,15.92
-62.751,-35.576,2029,-78.64,11.94
-59.617,-35.625,2029,-68.1,2.4
-56.488,-36.007,2029,-74.58,1.38
-53.253,-36.058,2029,-73.4,-0.6
-50.018,-36.109,2029,-72.62,-1.58
-46.884,-36.159,2029,-71.97,1.17
-43.647,-36.099,2029,-71.6,0.8
-40.513,-36.148,2029,-71.39,-6.61
-37.278,-36.199,2029,-71.2,-5.0
-34.147,-36.47,2029,-69.81,-3.69
-30.813,-36.634,2029,-69.71,-1.99
-27.679,-36.683,2029,-69.72,-1.28
-24.444,-36.734,2029,-69.85,-3.75
-18.178,-36.944,2029,-70.36,-1.54
-15.042,-36.882,2029,-70.75,-4.05
-11.807,-36.933,2029,-76.84,0.04
-8.57,-36.874,2029,-78.31,3.31
-5.333,-36.814,2029,-80.38,5.08
-2.098,-36.865,2029,-82.6,5.6
1.036,-36.914,2029,-86.16,9.36
4.271,-36.965,2029,-90.68,14.08
7.403,-37.125,2029,-95.06,21.06
10.537,-37.175,2029,-102.95,27.25
13.67,-37.335,2029,-93.22,18.02
16.905,-37.386,2029,-88.58,15.58
20.14,-37.437,2029,-85.34,9.74
23.274,-37.486,2029,-83.47,6.77
26.509,-37.537,2029,-82.7,7.9
29.744,-37.588,2029,-81.51,4.51
36.01,-37.798,2029,-79.71,3.91
39.245,-37.849,2029,-79.1,5.8
42.48,-37.9,2029,-78.63,4.43
45.614,-37.949,2029,-78.15,4.45
48.95,-38.002,2029,-77.92,3.22
52.084,-38.051,2029,-77.34,3.34
55.318,-38.213,2029,-77.11,2.31
58.454,-38.152,2029,-77.6,3.9
61.588,-38.201,2029,-77.7,6.3
64.722,-38.25,2029,-77.44,5.04
67.857,-38.189,2029,-77.33,4.63
70.991,-38.238,2029,-77.44,5.54
74.022,-38.397,2029,-77.17,5.87
77.258,-38.448,2029,-77.34,7.04
80.391,-38.497,2029,-77.29,8.59
83.529,-38.325,2029,-77.22,10.52
86.67,-37.932,2029,-77.31,6.51
89.396,-38.196,2029,-77.18,4.98
91.296,-39.556,2029,-78.47,3.37
92.361,-42.564,2029,-80.07,4.57
92.505,-46.223,2029,-82.11,9.31
91.641,-49.755,2029,-84.63,22.63
89.779,-52.385,2029,-86.62,16.92
87.034,-53.339,2029,-87.3,20.1
83.501,-52.951,2029,-87.53,20.43
79.671,-52.115,2029,-85.48,17.18
76.042,-51.393,2029,-85.32,15.32
72.506,-51.226,2029,-85.56,15.56
69.07,-51.061,2029,-87.99,19.09
65.635,-50.897,2029,-84.05,15.85
62.298,-50.844,2029,-89.67,21.07
58.962,-50.791,2029,-85.01,14.61
55.626,-50.739,2029,-92.38,18.98
52.288,-50.797,2029,-95.09,22.09
48.954,-50.634,2029,-97.94,24.34
45.621,-50.36,2029,-98.25,24.75
42.389,-50.087,2029,-101.64,26.04
39.156,-49.925,2029,-99.36,21.96
36.024,-49.765,2029,-96.61,17.11
29.653,-49.775,2029,-89.21,9.61
26.418,-49.724,2029,-86.67,5.77
23.181,-49.784,2029,-84.85,4.65
20.047,-49.735,2029,-83.36,3.86
16.911,-49.796,2029,-81.8,1.0
13.676,-49.745,2029,-80.62,1.42
10.54,-49.807,2029,-74.05,-4.35
7.304,-49.866,2029,-73.82,-1.78
4.17,-49.817,2029,-73.46,-4.94
1.036,-49.767,2029,-72.94,-1.96
-2.098,-49.718,2029,-72.59,-3.81
-5.333,-49.667,2029,-72.35,-5.75
-8.57,-49.727,2029,-72.27,-5.43
-11.805,-49.676,2029,-72.28,-4.12
-15.142,-49.623,2029,-72.23,-1.87
-18.38,-49.794,2029,-72.23,-1.47
-21.516,-49.855,2029,-73.94,-0.06
-24.854,-49.913,2029,-73.87,0.37
-27.988,-49.864,2029,-73.8,-3.1
-31.122,-49.815,2029,-74.05,-0.65
-34.458,-49.762,2029,-74.44,0.24
-37.594,-49.823,2029,-74.9,3.5
-40.829,-49.772,2029,-75.49,5.49
-43.963,-49.723,2029,-76.42,3.82
-47.198,-49.672,2029,-77.38,4.98
-50.334,-49.733,2029,-78.45,8.95
-53.468,-49.684,2029,-79.95,9.75
-56.703,-49.633,2029,-81.79,11.99
-59.835,-49.473,2029,-74.27,1.97
-62.971,-49.534,2029,-65.65,-6.95
-66.206,-49.483,2029,-64.69,-13.31
-72.578,-49.604,2029,-64.0,-15.8
-75.712,-49.555,2029,-63.92,-16.38
-78.951,-49.725,2029,-63.64,-24.76
-82.085,-49.676,2029,-80.84,-3.26
-85.322,-49.735,2029,-87.36,-2.94
-88.456,-49.686,2029,-88.53,-5.47
-91.691,-49.635,2029,-84.2,-0.7
-101.292,-49.262,2029,-94.77,10.47
-104.426,-49.213,2029,-93.49,8.79
-107.558,-49.052,2029,-91.01,4.81
-113.918,-48.398,2029,-83.1,2.5
-116.554,-48.8,2029,-82.42,2.82
-118.297,-50.323,2029,-82.63,-10.37
-119.155,-53.412,2029,-82.51,-1.99
-119.01,-57.071,2029,-82.23,6.93
-117.748,-60.415,2029,-82.63,4.73
-115.66,-62.664,2029,-82.3,7.6
-112.739,-63.375,2029,-82.46,6.86
-105.338,-62.162,2029,-90.25,15.75
-101.792,-61.775,2029,-92.07,17.07
-98.353,-61.718,2029,-99.08,22.98
-95.015,-61.66,2029,-66.07,-8.33
-91.676,-61.491,2029,-63.87,-12.63
-88.338,-61.433,2029,-64.58,-11.23
-85.097,-61.152,2029,-64.71,-9.69
-81.859,-60.981,2029,-64.4,-10.2
-78.622,-60.922,2029,-64.99,-11.01
-75.382,-60.64,2029,-65.63,-16.37
-72.249,-60.8,2029,-67.82,-15.58
-65.781,-61.013,2029,-98.66,21.16
-62.544,-60.954,2029,-95.51,25.61
-59.408,-60.892,2029,-78.92,7.42
-52.938,-60.994,2029,-75.88,5.68
-49.705,-61.156,2029,-86.35,9.85
-46.571,-61.205,2029,-85.43,9.43
-43.336,-61.256,2029,-83.89,5.09
-40.202,-61.306,2029,-82.42,5.92
-37.066,-61.244,2029,-80.65,4.75
-33.93,-61.183,2029,-80.26,4.56
-30.594,-61.236,2029,-79.86,4.76
-27.359,-61.287,2029,-79.21,3.81
-24.124,-61.338,2029,-78.78,3.38
-20.99,-61.387,2029,-78.39,-0.51
-17.751,-61.217,2029,-78.18,-3.42
-14.516,-61.268,2029,-77.93,-1.47
-11.279,-61.208,2029,-77.95,2.65
-8.044,-61.259,2029,-77.32,0.22
-4.807,-61.199,2029,-77.51,0.91
-1.673,-61.248,2029,-75.09,-1.61
1.562,-61.299,2029,-74.89,-1.21
4.798,-61.24,2029,-75.48,-0.62
11.168,-61.34,2029,-75.76,0.06
14.401,-61.502,2029,-76.0,1.6
17.636,-61.553,2029,-76.22,1.12
20.77,-61.602,2029,-75.74,2.64
23.904,-61.652,2029,-75.99,4.09
27.137,-61.813,2029,-76.87,4.47
30.27,-61.974,2029,-77.0,5.9
36.538,-62.072,2029,-80.66,12.86
39.771,-62.234,2029,-85.93,17.33
42.907,-62.173,2029,-87.6,18.3
46.041,-62.222,2029,-84.35,15.45
49.375,-62.386,2029,-89.92,22.22
52.509,-62.435,2029,-91.86,24.56
55.744,-62.486,2029,-86.32,19.32
58.878,-62.535,2029,-88.97,21.47
62.113,-62.586,2029,-89.42,21.22
